Entity,Code,Year,Per capita CO₂ emissions (tonnes per capita)
Afghanistan,AFG,2017,0.366301998
Albania,ALB,2017,2.177064808
Algeria,DZA,2017,3.643711196
Andorra,AND,2017,6.758706035
Angola,AGO,2017,1.188211756
Antigua and Barbuda,ATG,2017,5.541469631
Argentina,ARG,2017,4.615284172
Armenia,ARM,2017,1.930212677
Australia,AUS,2017,16.89501744
Austria,AUT,2017,8.006654677
Azerbaijan,AZE,2017,3.888005254
Bahamas,BHS,2017,6.48609873
Bahrain,BHR,2017,23.08459255
Bangladesh,BGD,2017,0.53475189
Barbados,BRB,2017,4.629426079
Belarus,BLR,2017,6.481791493
Belgium,BEL,2017,8.759565029
Belize,BLZ,2017,1.496810807
Benin,BEN,2017,0.671284146
Bhutan,BTN,2017,1.444209519
Bolivia,BOL,2017,1.889787576
Bosnia and Herzegovina,BIH,2017,7.598164112
Botswana,BWA,2017,3.436365994
Brazil,BRA,2017,2.274693943
Brunei,BRN,2017,23.85571308
Bulgaria,BGR,2017,6.92649324
Burkina Faso,BFA,2017,0.173756833
Burundi,BDI,2017,0.048704677
Cambodia,KHM,2017,0.49597561
Cameroon,CMR,2017,0.319584421
Canada,CAN,2017,15.63945701
Cape Verde,CPV,2017,1.098081052
Central African Republic,CAF,2017,0.066694212
Chad,TCD,2017,0.048906567
Chile,CHL,2017,4.685933739
China,CHN,2017,6.980228871
Colombia,COL,2017,1.655473425
Comoros,COM,2017,0.23280362
Congo,COG,2017,0.648144276
Costa Rica,CRI,2017,1.772404704
Cote d'Ivoire,CIV,2017,0.482590181
Croatia,HRV,2017,4.101254408
Cuba,CUB,2017,3.178521454
Cyprus,CYP,2017,6.370803331
Czech Republic,CZE,2017,10.16129938
Democratic Republic of Congo,COD,2017,0.059179624
Denmark,DNK,2017,6.025955135
Djibouti,DJI,2017,0.853731521
Dominica,DMA,2017,1.951275617
Dominican Republic,DOM,2017,1.975367348
Ecuador,ECU,2017,2.333691407
Egypt,EGY,2017,2.241489641
El Salvador,SLV,2017,1.096297419
Equatorial Guinea,GNQ,2017,5.296955436
Eritrea,ERI,2017,0.156455873
Estonia,EST,2017,15.12582468
Ethiopia,ETH,2017,0.127634983
Fiji,FJI,2017,1.484686572
Finland,FIN,2017,8.320500113
France,FRA,2017,5.483273772
Gabon,GAB,2017,2.728914913
Gambia,GMB,2017,0.296200856
Georgia,GEO,2017,2.799476841
Germany,DEU,2017,9.734893322
Ghana,GHA,2017,0.581433337
Greece,GRC,2017,6.810206701
Grenada,GRD,2017,2.561817853
Guatemala,GTM,2017,1.2344011
Guinea,GIN,2017,0.228405905
Guinea-Bissau,GNB,2017,0.178012323
Guyana,GUY,2017,2.669599889
Haiti,HTI,2017,0.273005086
Honduras,HND,2017,1.151540111
Hong Kong,HKG,2017,5.842941443
Hungary,HUN,2017,5.178665836
Iceland,ISL,2017,10.38736554
India,IND,2017,1.841996698
Indonesia,IDN,2017,1.844165359
Iran,IRN,2017,8.283504783
Iraq,IRQ,2017,5.080511318
Ireland,IRL,2017,8.345488549
Israel,ISR,2017,7.997698944
Italy,ITA,2017,5.988119458
Jamaica,JAM,2017,2.689219839
Japan,JPN,2017,9.452613071
Jordan,JOR,2017,2.201192289
Kazakhstan,KAZ,2017,16.07231908
Kenya,KEN,2017,0.318274925
Kiribati,KIR,2017,0.630672778
Kuwait,KWT,2017,25.23698426
Kyrgyzstan,KGZ,2017,1.725877009
Laos,LAO,2017,0.285495328
Latvia,LVA,2017,3.675913524
Lebanon,LBN,2017,3.213688608
Lesotho,LSO,2017,1.264391837
Liberia,LBR,2017,0.227767263
Libya,LBY,2017,8.375000482
Liechtenstein,LIE,2017,4.252228258
Lithuania,LTU,2017,4.634082705
Luxembourg,LUX,2017,15.93043014
Macedonia,MKD,2017,3.480992286
Madagascar,MDG,2017,0.124440753
Malawi,MWI,2017,0.073431905
Malaysia,MYS,2017,8.050017264
Maldives,MDV,2017,3.602358926
Mali,MLI,2017,0.092968404
Malta,MLT,2017,3.352752724
Marshall Islands,MHL,2017,2.275848815
Mauritania,MRT,2017,0.64221384
Mauritius,MUS,2017,3.382416788
Mexico,MEX,2017,3.795929033
Moldova,MDA,2017,1.257300003
Mongolia,MNG,2017,9.881061318
Montenegro,MNE,2017,4.178031433
Morocco,MAR,2017,1.755065434
Mozambique,MOZ,2017,0.346301927
Myanmar,MMR,2017,0.474666197
Namibia,NAM,2017,1.604414716
Nauru,NRU,2017,4.942013381
Nepal,NPL,2017,0.308077017
Netherlands,NLD,2017,9.629404939
New Zealand,NZL,2017,7.653064137
Nicaragua,NIC,2017,0.872182453
Niger,NER,2017,0.115708958
Nigeria,NGA,2017,0.562119378
North Korea,PRK,2017,2.276083245
Norway,NOR,2017,8.442342323
Oman,OMN,2017,14.06011545
Pakistan,PAK,2017,1.009105933
Palau,PLW,2017,14.10974872
Palestine,PSE,2017,0.471066916
